Waktu aktual	Actual time
Kelompok salat	Prayer group
Fase salat	Prayer phase
Event kalender	Calendar event
Negara	Country
Provinsi/negara bagian	Province/state
Kota/kabupaten	City/regency
Radius koordinat	Coordinate radius
Lokasi database	Database location
Gedung database	Database building
Halaman	Page
Semua fardhu	All obligatory prayers
Semua sunnah	All voluntary prayers
ISO2 negara	Country ISO2
Nama negara	Country name
ADM1/provinsi	ADM1/province
ADM2/kota	ADM2/city
Lintang	Latitude
Bujur	Longitude
Radius (meter)	Radius (meters)
Tambahkan scope lain	Add another scope
Konten Indonesia	Indonesian content
Label kecil	Eyebrow
Subjudul	Subtitle
Isi	Body
Tambahan	Additional
Konten Inggris	English content
Placeholder tersedia: {overlayName}, {countdown}, {sourceName}. Overlay salat memakai placeholder state dari engine.	Available placeholders: {overlayName}, {countdown}, {sourceName}. Prayer overlays use state placeholders from the engine.
Urutan slide (opsional)	Slide sequence (optional)
Jika diisi, slide berputar sesuai durasi masing-masing. Kosong berarti hanya konten utama.	Slides rotate according to their individual durations. Leave empty to show only main content.
Mode putar	Playback mode
Berurutan	Sequential
Acak stabil	Stable shuffle
Rotasi konflik/acak (detik)	Conflict/shuffle rotation (seconds)
Ulangi playlist	Repeat playlist
Jenis trigger	Trigger type
Waktu lokal	Local time
Offset (detik)	Offset (seconds)
Durasi (detik)	Duration (seconds)
Mulai UTC	UTC start
Bulan/tanggal Masehi	Gregorian month/day
Bulan/tanggal Hijriah	Hijri month/day
Tanggal akhir Masehi	Gregorian end date
Tanggal akhir Hijriah	Hijri end date
Hari aktif	Active days
1,2,3,4,5 (Senin-Jumat)	1,2,3,4,5 (Monday-Friday)
Sampai waktu	Until time
Ulang tiap (menit)	Repeat every (minutes)
Fase/anchor	Phase/anchor
Event astronomi/eksternal	Astronomical/external event
Data/kondisi	Data/condition
Bernilai aktif	Truthy
Sama dengan	Equals
Tidak sama	Not equal
Mengandung	Contains
Lebih besar	Greater than
Lebih kecil	Less than
Tidak aktif/kosong	Inactive/empty
Nilai kondisi	Condition value
Tambah trigger	Add trigger
Simpan definisi ke SQL	Save definition to SQL
Aktifkan manual 60 detik	Activate manually for 60 seconds
Editor visual	Visual editor
Background dan posisi overlay	Background and overlay position
Cara paling cepat	Quickest method
Pilih background, klik	Select a background, click
Edit gambar ini	Edit this image
, geser atau zoom pada pratinjau, lalu klik	, drag or zoom in the preview, then click
Simpan tampilan ke SQL	Save appearance to SQL
. File asli tidak berubah.	. The original file is preserved.
Edit cepat	Quick edit
Pilih background bawaan	Select built-in background
Nama background	Background name
Belum ada background di database	No backgrounds in the database
Gunakan	Use
Unggah	Upload
Hapus	Delete
Library media: gambar, animasi, video, dan YouTube	Media library: images, animations, video, and YouTube
Upload atau pilih media	Upload or select media
Path file disimpan sistem dan tidak perlu diketik pengguna.	The system stores file paths automatically.
Cari media	Search media
Cari nama media	Search media name
Kategori	Category
Semua kategori	All categories
Halaman utama	Main page
Pengumuman	Announcement
Darurat	Emergency
Upload pengguna	User uploads
Jenis media	Media type
Semua jenis	All types
Gambar	Image
GIF / animasi	GIF / animation
Media online / YouTube	Online media / YouTube
Pilih media dari perangkat	Select media from device
Gambar/animasi atau video MP4/WebM/OGV hingga 35 MB. SVG diperiksa keamanannya.	Images/animations or MP4/WebM/OGV video up to 35 MB. SVG files are checked for safety.
Kategori upload	Upload category
Upload media	Upload media
Nama media	Media name
Contoh: Siaran kajian	Example: Study broadcast
URL langsung	Direct URL
Fallback gambar (opsional)	Fallback image (optional)
Tambahkan URL ke library	Add URL to library
Belum ada gambar yang dipilih untuk diedit.	No image selected for editing.
Galeri background	Background gallery
Geser langsung	Drag directly
Pratinjau background	Background preview
Gunakan sebagai background	Use as background
Background tersimpan belum dipilih.	No saved background selected.
Editor background. Geser area kosong untuk mengatur posisi gambar, gulir roda mouse untuk zoom, dan geser kotak overlay untuk mengatur posisi konten.	Background editor. Drag empty space to position the image, scroll to zoom, and drag overlay boxes to position content.
Overlay teks	Text overlay
Geser untuk memindahkan	Drag to move
Geser untuk mengubah ukuran	Drag to resize
Posisi komponen modular	Modular component positions
Area kosong: geser gambar · roda mouse: zoom · kotak komponen: geser posisi · sudut kotak: ubah ukuran	Empty space: drag image · mouse wheel: zoom · component box: move · corner: resize
Kontrol cepat background	Quick background controls
Perkecil gambar	Zoom image out
− Perkecil	− Zoom out
Perbesar gambar	Zoom image in
+ Perbesar	+ Zoom in
Tengahkan gambar	Center image
Atur dengan angka X/Y dan ukuran (opsional)	Set X/Y values and size (optional)
Gambar background	Background image
Geser gambar dengan mouse atau isi nilai X/Y. Nilai 50 berarti tepat di tengah.	Drag the image or enter X/Y values. A value of 50 means centered.
Posisi gambar X (%)	Image X position (%)
Posisi gambar Y (%)	Image Y position (%)
Zoom dengan slider	Zoom with slider
Penyesuaian gambar	Image fit
Penuhi layar (disarankan)	Fill screen (recommended)
Tampilkan seluruh gambar	Show entire image
Regangkan	Stretch
Ukuran asli	Original size
Perkecil bila perlu	Shrink if needed
Opacity gambar	Image opacity
Geser kotak hijau untuk memindahkan. Geser sudut kanan bawah untuk mengubah ukurannya.	Drag the green box to move it. Drag its bottom-right corner to resize.
Titik acuan	Anchor point
Tengah	Center
Kiri atas	Top left
Kanan atas	Top right
Kiri bawah	Bottom left
Kanan bawah	Bottom right
Posisi overlay X (%)	Overlay X position (%)
Posisi overlay Y (%)	Overlay Y position (%)
Lebar overlay (%)	Overlay width (%)
Tinggi overlay (%)	Overlay height (%)
Reset posisi overlay	Reset overlay position
Default visual card untuk seluruh overlay	Default card appearance for all overlays
Nilai ini menjadi fallback semua card. Opacity hanya memengaruhi lapisan background card, bukan teks atau isinya.	These values are fallbacks for all cards. Opacity affects only the card background, preserving text and content.
Warna background	Background color
Gambar background card	Card background image
assets/images/... atau https://...	assets/images/... or https://...
Opacity background	Background opacity
Warna border	Border color
Opacity border	Border opacity
Lebar border (px)	Border width (px)
Radius card (px)	Card radius (px)
Warna teks	Text color
Warna judul	Title color
Warna subjudul	Subtitle color
Warna Arab	Arabic color
Warna Latin	Latin color
Warna arti	Meaning color
Warna sumber	Source color
Simpan default seluruh card	Save defaults for all cards
Override visual card untuk overlay terpilih	Card appearance overrides for the selected overlay
Override ini menang atas default global. Kosongkan field teks opsional jika tidak memerlukan gambar atau gradient.	Overrides take precedence over global defaults. Clear optional text fields if no image or gradient is needed.
Warna tint	Tint color
Opacity tint	Tint opacity
Warna card	Card color
Opacity card	Card opacity
Gradient card	Card gradient
Rata teks	Text alignment
Kiri	Left
Kanan	Right
Ukuran judul responsif	Responsive title size
Ukuran isi responsif	Responsive body size
Tampilkan panel/card konten	Show content panel/card
Panel teks	Text panel
Jam aktual	Actual clock
Tanggal Masehi & Hijriah	Gregorian & Hijri dates
Tidak ada	None
Langkah 4	Step 4
Simpan pilihan background, posisi, ukuran, dan zoom ke database.	Save the background, position, size, and zoom to the database.
Susun komponen tanpa pemrograman	Arrange components without programming
Centang informasi yang ingin tampil. Konten utama tetap dikelola pada tab Konten & trigger; komponen dapat hidup pada lapisan background, tetap, utama, atau peringatan.	Check the information to display. Main content is managed in Content & triggers; components can use background, persistent, main, or alert layers.
Panduan prioritas	Priority guide
Darurat dan keselamatan	Emergency and safety
Adzan, iqamah, pelaksanaan salat	Adzan, iqamah, prayer performance
Pengumuman penting dan kalender	Important announcements and calendar
Media, ticker, cuaca, dan informasi umum	Media, ticker, weather, and general information
Komponen modular	Modular components
Jam digital/analog	Digital/analog clock
Jadwal salat	Prayer schedule
Teks	Text
Teks berjalan	Running text
FYI / kartu informasi	FYI / information card
Tafsir + sumber	Tafsir + source
Hadis + rujukan	Hadith + reference
Kalender Islam	Islamic calendar
Informasi puasa	Fasting information
Salat sunnah	Voluntary prayers
Cuaca	Weather
Astronomi	Astronomy
Kabar duka	Bereavement notice
Setelah dicentang, atur isi, sumber, lapisan, serta posisi setiap komponen di bawah. Quran, tafsir, dan hadis tidak akan diberi klaim sumber otomatis.	After selecting components, set their content, source, layer, and position below. Qur'an, tafsir, and hadith receive no automatic source claims.
Catatan sumber bersama (fallback)	Shared source note (fallback)
Dipakai hanya jika komponen belum mempunyai sumber sendiri.	Used only when a component has no source of its own.
Fase terlindungi	Protected phases
Overlay biasa tidak boleh mengganti fase yang dicentang kecuali prioritasnya lebih tinggi dan layer peringatan.	Regular overlays cannot replace checked phases unless they have higher priority and use the alert layer.
Pelaksanaan salat	Prayer performance
Pelaksanaan Jumat	Friday prayer performance
Persiapan Subuh	Fajr preparation
Saran data eksternal	External data suggestions
Berita bencana atau kabar duka tidak ditayangkan otomatis. Masukkan sumber HTTPS, tinjau, lalu ubah menjadi overlay editable atau abaikan.	Disaster and bereavement news is not displayed automatically. Enter an HTTPS source, review it, then create an editable overlay or dismiss it.
Bencana/darurat	Disaster/emergency
Wilayah kejadian	Event area
Contoh: Kabupaten Sleman	Example: Sleman Regency
Waktu kejadian	Event time
Waktu publikasi sumber	Source publication time
Terakhir diperbarui	Last updated
Status verifikasi	Verification status
Belum diverifikasi admin	Not yet verified by admin
Sumber sudah diverifikasi	Source verified
Kejadian sudah diverifikasi	Event verified
Ringkasan	Summary
Masukkan ke antrean review	Add to review queue
Belum ada saran menunggu review.	No suggestions awaiting review.
Audit konfigurasi dan runtime	Configuration and runtime audit
Belum ada log.	No logs yet.
Simpan komponen & prioritas	Save components & priorities
Kedukaan & Salat Jenazah	Bereavement & Funeral Prayer
Kabar duka, Salat Jenazah, dan Salat Gaib	Bereavement, funeral prayer, and absentee funeral prayer
Satu event dapat berupa wafat individual, korban jamak, atau bencana. Admin tetap menentukan tindak lanjut; sistem tidak pernah memilih Salat Gaib secara otomatis.	An event can concern an individual death, multiple casualties, or a disaster. Admin decides follow-up actions; the system never selects absentee funeral prayer automatically.
Tambah event	Add event
Muat ulang event	Reload events
Daftar event	Event list
Cari event	Search events
Nama atau lokasi	Name or location
Memuat event...	Loading events...
Bagian editor event	Event editor sections
Data event	Event data
Jadwal tampil	Display schedule
Urutan tayangan	Sequence
1. Kejadian dan orang/korban	1. Event and person/casualties
Jenis kejadian	Event type
Wafat individual	Individual death
Wafat beberapa orang	Multiple deaths
Bencana dengan korban jiwa	Disaster with fatalities
Insiden fatal lainnya	Other fatal incident
Nama almarhum/almarhumah	Deceased person's name
Jenis kelamin korban	Sex of deceased
Satu laki-laki / almarhum	One male deceased
Satu perempuan / almarhumah	One female deceased
Beberapa laki-laki	Multiple males
Beberapa perempuan	Multiple females
Kelompok campuran	Mixed group
Belum diketahui	Unknown
Jumlah korban jiwa	Fatality count
Nama kejadian	Event name
Contoh: Gempa Bumi	Example: Earthquake
Lokasi kejadian	Event location
Waktu wafat/kejadian	Time of death/event
Informasi dilaporkan	Information reported
Informasi diterima sistem	Information received by system
Informasi diverifikasi	Information verified
Zona waktu	Timezone
Foto almarhum/almarhumah (opsional)	Photo of deceased (optional)
Foto tidak wajib. Pilih dan periksa preview dahulu; foto baru tampil pada laman Kabar Duka setelah di-upload, dikonfirmasi, dan event disimpan.	A photo is optional. Select and preview it first; it appears on the bereavement page only after upload, confirmation, and saving the event.
Belum ada foto. Overlay otomatis memakai layout teks penuh.	No photo. The overlay automatically uses the full-text layout.
Pilih foto	Select photo
Upload & gunakan	Upload & use
Tampilkan foto pada overlay	Show photo on overlay
JPEG, PNG, atau WebP; maksimum 8 MB.	JPEG, PNG, or WebP; maximum 8 MB.
2. Disemayamkan dan pemakaman	2. Lying in repose and burial
Alamat/tempat disemayamkan	Repose address/location
Mulai disemayamkan	Repose start
Waktu pemakaman	Burial time
Lokasi pemakaman	Burial location
3. Tindak lanjut	3. Follow-up
Tindak lanjut	Follow-up
Salat Jenazah	Funeral prayer
Salat Gaib	Absentee funeral prayer
Informasi saja	Information only
Jenazah akan disholatkan di lokasi ini	Funeral prayer will be held at this location
Metode fiqih	Fiqh method
Tampilkan panduan ilustrasi	Show illustrated guide
Nama masjid	Mosque name
Alamat/lokasi Salat Jenazah	Funeral prayer address/location
Waktu persiapan	Preparation time
Waktu Salat Jenazah	Funeral prayer time
Pelaksanaan	Performance
Berjamaah	Congregational
Sendiri	Individual
Berjamaah atau sendiri	Congregational or individual
Tempat berjamaah	Congregation venue
Waktu Salat Gaib	Absentee prayer time
4. Publikasi, sumber, dan verifikasi	4. Publication, sources, and verification
Mode durasi	Duration mode
24 jam sejak diterima	24 hours after receipt
24 jam sejak waktu tertentu	24 hours from a specified time
Waktu mulai/akhir khusus	Custom start/end times
Mulai tampil	Display start
Berhenti tampil	Display end
Menunggu verifikasi	Awaiting verification
Terverifikasi	Verified
Terjadwal	Scheduled
Berakhir	Ended
Dibatalkan	Cancelled
Diarsipkan	Archived
Prioritas overlay	Overlay priority
Sisipkan saat rangkaian salat/ibadah	Insert during prayer/worship sequences
Durasi setiap sisipan (detik)	Duration per insertion (seconds)
Ulang setiap (menit)	Repeat every (minutes)
Sumber informasi	Information source
URL sumber HTTPS	HTTPS source URL
Status sumber	Source status
Belum diverifikasi	Unverified
Sumber terverifikasi	Verified source
Kejadian terverifikasi	Verified event
Diverifikasi admin	Admin-verified
Narahubung	Contact person
Tampilkan sisipan pada fase:	Insert during phases:
Menuju adzan	Before adzan
Saat adzan (opsional)	During adzan (optional)
Menunggu iqamah	Awaiting iqamah
Waktu Qiyamul Lail	Qiyamul Lail period
Waktu Syuruq	Sunrise period
Default: tampil 75 detik pada awal fase dan setiap 5 menit. Di luar rangkaian fardhu, event tetap dapat tampil selama periode publikasinya. Ubah angka atau fase sesuai kebutuhan.	Default: show for 75 seconds at phase start and every 5 minutes. Outside obligatory prayer sequences, events may appear during their publication period. Adjust durations or phases as needed.
5. Kapan presentasi boleh tampil	5. When presentations may appear
Aktifkan informasi Salat Jenazah/Gaib	Enable funeral/absentee prayer information
Ketika terganggu fase penting	When interrupted by an important phase
Selesaikan laman, lalu jeda (aman)	Finish page, then pause (safe)
Jeda sekarang, lanjutkan nanti	Pause now, resume later
Tetap lanjut	Continue
Aksi setelah seluruh laman	Action after all pages
Kembali ke index normal	Return to normal index
Ulangi kabar duka	Repeat bereavement notice
Ulangi tutorial	Repeat tutorial
Lanjut playlist berikutnya	Continue to next playlist
Berhenti	Stop
Tampilkan informasi salat persisten	Show persistent prayer information
Kapan boleh ditampilkan?	When may it appear?
Kapan saja	Any time
Di luar rangkaian fardhu	Outside obligatory prayer sequences
Sebelum masuk waktu fardhu	Before obligatory prayer time
Countdown menuju adzan	Countdown to adzan
Saat adzan	During adzan
Setelah adzan / menuju iqamah	After adzan / before iqamah
Saat pelaksanaan salat	During prayer
Setelah pelaksanaan salat	After prayer
Setelah seluruh rangkaian selesai	After the entire sequence
Pada waktu tertentu	At a specified time
Aturan khusus	Custom rule
Laman informasi tidak mengganggu fase berikut kecuali override dicentang atau kebijakan “Tetap lanjut” dipilih.	Information pages do not interrupt these phases unless override is checked or Continue is selected.
Terlindungi	Protected
Izinkan override	Allow override
Khutbah/Salat Jumat	Friday sermon/prayer
Event critical lain	Other critical events
Informasi salat yang tetap terlihat	Persistent prayer information
Nama salat berikutnya	Next prayer name
Jam adzan	Adzan time
Sisa waktu	Remaining time
Mulai waktu tertentu	Start at specified time
Selesai	Finished
Custom rule aman	Safe custom rule
Aturan per salat	Rules per prayer
Boleh	Allowed
Menit sebelum	Minutes before
Sebelum	Before
Setelah	After
Menit setelah	Minutes after
6. Urutan Presentasi Overlay	6. Overlay Presentation Sequence
Satu laman menyampaikan satu informasi utama. Urutan, isi, media, dan durasi berikut disimpan di SQL dan dijalankan oleh universal overlay engine pada index.html.	Each page conveys one main message. Sequence, content, media, and durations are stored in SQL and played by the universal overlay engine on index.html.
Preset presentasi	Presentation preset
Singkat	Short
Standar	Standard
Lengkap	Full
Khusus	Custom
Sesuaikan Durasi Otomatis	Auto Adjust Duration
Batas maksimal (detik)	Maximum duration (seconds)
Jika melebihi batas	If the limit is exceeded
Optimalkan Otomatis	Auto Optimize
Kurangi laman opsional	Reduce optional pages
Gunakan Short mode	Use Short mode
Perpanjang durasi	Extend duration
Optimalkan sekarang	Optimize now
Konten yang ditampilkan	Displayed content
Hukum	Ruling
Dalil/referensi	Evidence/reference
Arti	Meaning
Total Durasi Presentasi	Total Presentation Duration
Durasi per bagian	Duration per section
Isi target detik untuk membagi durasi seluruh sublaman dalam bagian secara proporsional menurut bobot, dengan batas minimum dan maksimum tetap dijaga. Kosongkan untuk memakai durasi laman.	Enter target seconds to divide duration proportionally across subpages by weight while respecting minimum and maximum limits. Leave empty to use page durations.
Urutan laman informasi	Information page sequence
Buat event	Create event
Preview event	Preview event
Duplikat	Duplicate
Isi contoh Si Fulan	Fill example person
Contoh bencana 125 korban	Disaster example with 125 casualties
Arsipkan	Archive
Hapus permanen	Delete permanently
Belum ada event dipilih.	No event selected.
Preview khusus	Dedicated preview
Informasi dan playback panduan	Information and guide playback
Menghubungkan realtime...	Connecting in real time...
Simulasi preview satu viewport	Single-viewport preview simulation
Simulasi: 17:30	Simulation: 17:30
Sisa: 18 menit	Remaining: 18 minutes
Laman informasi akan tampil setelah data atau contoh diisi.	Information pages appear after entering data or an example.
Laman sebelumnya	Previous page
Putar laman	Play pages
Laman berikutnya	Next page
Mulai lagi	Restart
Kontrol playback panduan	Guide playback controls
Ulangi	Repeat
Putar otomatis	Autoplay
Audit perubahan event	Event change audit
Playlist edukasi per kategori	Educational playlist by category
Materi khusus salat telah dihapus dari overlay. Materi lain tetap menggunakan dalil Al-Qur’an dan Hadis dari database bersama.	Prayer-specific material has been removed from the overlay. Other material continues to use Qur'an and Hadith evidence from the shared database.
Restore materi default	Restore default material
Jadwal tampilan	Display schedule
Aktif di index.html	Enabled on index.html
Jeda setelah seluruh kategori (menit)	Pause after all categories (minutes)
Setelah semua kategori selesai, dashboard utama tampil selama durasi ini.	After all categories finish, the main dashboard appears for this duration.
Jeda antar kategori (menit)	Pause between categories (minutes)
Durasi cadangan per laman (detik)	Fallback page duration (seconds)
Jeda ketika overlay salat aktif	Pause while prayer overlay is active
Isi yang ditampilkan	Displayed content
Tampilkan dalil rujukan di index.html	Show evidence references on index.html
Label “Artinya:” / “Meaning:”	“Artinya:” / “Meaning:” label
Tampilkan indikator laman dan sisa waktu	Show page indicator and remaining time
Urutan kategori diselesaikan dari atas ke bawah. Atur detik per laman untuk menentukan panjang total pembahasan setiap kategori.	Categories play from top to bottom. Set seconds per page to determine each category's total duration.
Style card materi dan override bagian	Material card style and section overrides
Style overlay materi mengalahkan default global. Override bagian mengalahkan style overlay.	Material overlay styles override global defaults. Section overrides take precedence over overlay styles.
Memuat materi...	Loading material...
Katalog materi tersimpan	Saved material catalog
+ Tambah materi	+ Add material
Cari materi	Search material
Contoh: iman, zakat, puasa	Example: faith, zakat, fasting
Bagian	Section
Semua bagian	All sections
CRUD materi berbasis SQL	SQL-backed material CRUD
Tambah materi ibadah	Add worship material
Isi materi dan dalil tampil di index.html. Status peninjauan hanya terlihat di halaman konfigurasi ini.	Material and evidence appear on index.html. Review status is shown only on this configuration page.
Tutup editor	Close editor
Identitas dan urutan laman	Page identity and order
Kunci materi	Material key
Rukun Iman	Articles of faith
Rukun Islam	Pillars of Islam
Wudhu	Ablution
Puasa	Fasting
Haji	Hajj
Doa dan Dzikir	Supplication and remembrance
Materi Ibadah Lain	Other worship material
Bab/kategori	Chapter/category
Informasi	Information
Dalil pengantar	Introductory evidence
Prinsip	Principle
Metodologi	Methodology
Syarat	Conditions
Rukun	Pillars
Gerakan	Movement
Bacaan	Reading
Materi aktif	Material enabled
Isi lengkap per laman	Complete content per page
Subjudul/dalil ringkas Indonesia	Indonesian subtitle/brief evidence
Subjudul Inggris	Subtitle English
Penjabaran lengkap Indonesia	Full Indonesian explanation
Penjabaran lengkap Inggris	Full explanation English
Petunjuk praktik Indonesia	Indonesian practice instructions
Petunjuk praktik Inggris	Practice instruction English
Bacaan, latin, arti, dan media	Reading, Latin text, meaning, and media
Arti Indonesia	Indonesian meaning
Terjemahan Inggris	Translation English
Path ilustrasi opsional	Optional illustration path
Default semua materi: main_background.png. Nilai disimpan per materi di SQL.	Default for all material: main_background.png. Values are stored per material in SQL.
Daftar dalil dan peninjauan administrator	Evidence list and administrator review
Pilih Al-Qur’an, Hadis, Ijma, Qiyas, atau sumber lain. Jika satu riwayat memiliki pengantar, pertanyaan, dan jawaban, masukkan sebagai beberapa block di dalam satu evidence yang sama. Isi Indonesia dan English disimpan berpasangan; index.html hanya menampilkan bahasa aktif.	Select Qur'an, Hadith, Ijma, Qiyas, or another source. If a narration has an introduction, questions, and answers, enter multiple blocks within the same evidence item. Indonesian and English content is paired; index.html shows only the active language.
+ Tambah evidence	+ Add evidence
Sumber materi dari database Al-Qur’an, Tafsir, dan Hadis	Material sources from the Qur'an, Tafsir, and Hadith database
Referensi internal menjadi identitas utama. Snapshot hanya cache offline; perubahan sumber ditandai dan override manual tidak ditimpa.	Internal references are the primary identity. Snapshots are offline caches; source changes are flagged and manual overrides are preserved.
Memeriksa database…	Checking database…
Sumber materi	Material source
Cari dalil / ayat / hadis / tafsir	Search evidence / verses / hadith / tafsir
Contoh: waktu salat	Example: prayer times
Cari semua sumber	Search all sources
Gunakan mode Manual hanya ketika sumber belum tersedia atau memang memerlukan override. Data lama tetap dapat diedit.	Use Manual mode only when a source is unavailable or an override is needed. Existing data remains editable.
+ Tambah evidence manual	+ Add manual evidence
Ayat / beberapa ayat / range	Verse / verses / range
Contoh: 1 atau 1,3-5	Example: 1 or 1,3-5
Maksimal 15 ayat dalam satu evidence.	Maximum 15 verses per evidence item.
Mufassir	Commentator
Kitab tafsir	Tafsir work
Ayat awal	Starting verse
Ayat akhir	Ending verse
Mode tafsir	Tafsir mode
Tampilkan penuh	Show full text
Ringkasan existing saja	Existing summary only
Materi tambahan	Additional material
Judul dan detail sumber saja	Title and source details only
Sistem tidak membuat ringkasan AI.	The system does not generate AI summaries.
Kata kunci	Keyword
Contoh: iman	Example: faith
Isi teks	Text content
Potongan matan atau terjemahan	Narration or translation excerpt
Nomor hadis	Hadith number
Contoh: 8	Example: 8
Kitab / book	Book
Contoh: Kitab al-Iman	Example: Kitab al-Iman
Perawi / narrator	Narrator
Contoh: Umar bin al-Khaththab	Example: Umar ibn al-Khattab
Contoh: rukun iman	Example: articles of faith
Cari di sumber aktif	Search active source
Hasil lama	Previous results
Sumber terpilih	Selected source
Komponen yang dimasukkan	Included components
Referensi	Reference
Narasi pengantar	Intro narration
Preset urutan	Sequence preset
Intro → Ayat → Latin → Arti → Sumber	Intro → Verse → Latin → Meaning → Source
Intro → Arab → Latin → Arti → Tafsir → Sumber	Intro → Arabic → Latin → Meaning → Tafsir → Source
Judul → Riwayat → Arab → Latin → Arti → Referensi	Title → Narration → Arabic → Latin → Meaning → Reference
Judul → Intro → Tafsir → Sumber	Title → Intro → Tafsir → Source
Judul → Sumber → Arab → Latin → Arti → Tafsir → Intro	Title → Source → Arabic → Latin → Meaning → Tafsir → Intro
Urutan kustom	Custom sequence
Gunakan tombol naik/turun untuk menyusun urutan yang dipakai preview dan overlay.	Use up/down buttons to arrange the sequence used in previews and overlays.
Urutan komponen materi	Material component sequence
Bahasa preview	Preview language
Intro Indonesia (opsional)	Indonesian introduction (optional)
Pengantar Inggris (opsional)	Introduction English (optional)
Preview pilihan	Selection preview
Tambahkan ke Materi	Add to material
Database belum diperiksa.	Database not checked yet.
Status keseluruhan materi	Overall material status
Bersyarat/perlu konteks	Conditional/context required
Diperselisihkan	Disputed
Preview langsung materi	Live material preview
Preview langsung index.html	Live index.html preview
Perubahan form tampil otomatis.	Form changes appear automatically.
Preview langsung materi ibadah	Live worship material preview
Hapus materi	Delete material
Perbarui preview	Update preview
Simpan materi	Save material
Pratinjau terisolasi	Isolated preview
Uji tanpa mengubah runtime	Test without changing runtime
Seluruh scheduler pada waktu simulasi	Entire scheduler at simulation time
Definisi terpilih + trigger	Selected definition + triggers
Salat fardu (pilih fase)	Obligatory prayer (select phase)
Hari Jumat (pilih fase)	Friday (select phase)
Dhuha (pilih fase)	Dhuha (select phase)
Qiyamul Lail (pilih fase)	Qiyamul Lail (select phase)
Salat/fase	Prayer/phase
Salat Jumat	Friday prayer
Pra-adzan	Pre-adzan
Informasi Hari Jumat	Friday information
Fase Dhuha	Dhuha phase
Pengingat awal malam	Early-night reminder
Menuju sepertiga terakhir	Approaching the last third
Sepertiga malam terakhir	Last third of the night
Persiapan Subuh fardhu	Obligatory Fajr preparation
Simulasikan tanggal/waktu	Simulate date/time
Bulan Hijriah (opsional)	Hijri month (optional)
Tanggal Hijriah (opsional)	Hijri day (optional)
Event kalender (opsional)	Calendar event (optional)
Contoh: ashura	Example: ashura
Jalankan preview	Run preview
Pilih waktu simulasi untuk melihat alasan overlay aktif atau tertahan.	Select a simulation time to see why overlays are active or held.
Pratinjau overlay	Overlay preview
Mesin Pratinjau Bersama	Shared Preview Engine
Hasil draft pada panel aktif ditampilkan dengan renderer yang sama seperti layar utama.	Draft results from the active panel use the same renderer as the main display.
Tersimpan	Saved
Perbesar	Enlarge
Tutup preview	Close preview
Kontrol preview bersama	Shared preview controls
Ukuran	Size
Otomatis	Auto
Skala	Scale
State / fase	State / phase
Perbarui	Update
Apply sementara	Apply temporarily
Reset draf	Reset draft
Menyiapkan preview...	Preparing preview...
Preview langsung index.html untuk panel aktif	Live index.html preview for the active panel
Administrasi Web-GIS	Web-GIS Administration
Mode draf offline	Offline draft mode
0 dalam antrean	0 queued
Peta ADM	ADM map
Manajemen Building	Building management
Metode perolehan lokasi	Location acquisition method
Ketik koordinat atau klik peta koordinat offline. Koneksi internet tidak diperlukan.	Type coordinates or click the offline coordinate map. No internet connection is required.
Sumber: manual. Pilih titik dan konfirmasikan di bawah.	Source: manual. Select a point and confirm it below.
Terdeteksi atau dimasukkan manual	Detected or entered manually
Provinsi, negara bagian, wilayah	Province, state, region
Kota, kabupaten	City, county, regency
Pembacaan awal perangkat: belum direkam.	Initial device reading: not captured.
Musholla / ruang salat	Prayer room / musholla
Panti asuhan	Orphanage
Bandara	Airport
Terminal bus	Bus terminal
Stasiun kereta	Train station
Pelabuhan	Seaport
Kafe / restoran	Cafe / restaurant
Toko / minimarket	Shop / mart
Pusat perbelanjaan	Shopping mall
Pabrik	Factory
Hotel / penginapan	Hotel / inn
Bengkel mobil	Car shop
Nama masjid / bangunan	Masjid / building name
Jalan, kecamatan, kota, kode pos	Street, district, city, postal code
Detail tempat, kontak, akses, atau catatan operasional	Place detail, contact, access, or operating note
Profil perangkat browser disimpan pada revisi konfigurasi.	Browser device profile will be stored in the configuration revision.
Tinjau satu	Review single
Tinjau beberapa	Review multiple
Kontrol lapisan dasar peta	Map base layer controls
Dasar	Basic
Topografi	Topography
Satelit	Satellite
Skala data perairan	Water data scale
Belum ada titik bangunan	No building point
Kontrol lapisan dasar peta KML	KML map base layer controls
Detail Fitur KML	KML Feature Details
Kontrol lapisan dasar peta penuh	Full map base layer controls
Kompas 16 arah	16 direction compass
KIBLAT	QIBLA
Utara	North
Buka peta ADM statis	Open static ADM map
Peta dasar	Basemap
Sumber peta online	Online map sources
Gunakan peta online	Use online map
Peta online	Online map
Pilih peta online	Select online map
BMKG Indonesia · Gempa dirasakan	BMKG Indonesia · Felt earthquakes
Gunung api · status & lokasi	Volcanoes · status & location
Tampilan lingkungan	Environment display
Cakupan tampilan lingkungan	Environment display scope
Lokal · negara terpilih (ADM0)	Local · selected country (ADM0)
Lingkungan global	Global Environment
Rentang data	Data range
Rentang data lingkungan	Environment data range
24 jam terakhir	Last 24 hours
5 hari terakhir	Last 5 days
10 hari terakhir	Last 10 days
30 hari terakhir	Last 30 days
Buka peta	Open map
Ikon kondisi peta	Map condition icons
Pemetaan gunung api	Volcano mapping
Gunung api	Volcanoes
